method,theoretical_order,k,h_coarse,h_fine,approximation,true_error,p_true,p_observed,estimated_error,richardson,richardson_true_error,status
forward_naive,1,42,2.2737367544323206e-13,5.684341886080802e-14,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,42,2.2737367544323206e-13,5.684341886080802e-14,1.0000000000000284,2.842170943040401e-14,1.0,1.0,2.842170943040401e-14,1.0,0.0,ok
central_naive,2,42,2.2737367544323206e-13,5.684341886080802e-14,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,42,2.2737367544323206e-13,5.684341886080802e-14,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,43,1.1368683772161603e-13,2.842170943040401e-14,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,43,1.1368683772161603e-13,2.842170943040401e-14,1.0000000000000142,1.4210854715202004e-14,1.0,1.0,1.4210854715202004e-14,1.0,0.0,ok
central_naive,2,43,1.1368683772161603e-13,2.842170943040401e-14,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,43,1.1368683772161603e-13,2.842170943040401e-14,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,44,5.684341886080802e-14,1.4210854715202004e-14,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,44,5.684341886080802e-14,1.4210854715202004e-14,1.000000000000007,7.105427357601002e-15,1.0,1.0,7.105427357601002e-15,1.0,0.0,ok
central_naive,2,44,5.684341886080802e-14,1.4210854715202004e-14,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,44,5.684341886080802e-14,1.4210854715202004e-14,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,45,2.842170943040401e-14,7.105427357601002e-15,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,45,2.842170943040401e-14,7.105427357601002e-15,1.0000000000000036,3.552713678800501e-15,1.0,1.0,3.552713678800501e-15,1.0,0.0,ok
